beta,Evac,Cost,weighted_obj
0.0,1253.83,3867.16,1253.83
0.01,1266.4,2167.4,1288.07
0.02,1266.4,2167.4,1309.75
0.05,1287.69,1656.18,1370.5
0.1,1364.74,547.7,1419.51
0.2,1396.76,375.19,1471.8
0.5,1437.17,200.24,1537.29
1.0,1437.17,200.24,1637.41
2.0,1437.17,200.24,1837.65
