param,perturbation_pct,value,metric_mean,metric_sd,metric_change_mean_pct,metric_change_sd_pct,replicates
k_postnorm,-20,0.8,564.8860176666667,1.3626971113392583,8.88324518482937,0.06412760581280266,3
k_postnorm,-10,0.9,537.806678,0.8260113542845359,3.6641332725720126,0.3499822539763732,3
k_postnorm,0,1.0,518.799458,0.9991756179710971,0.0,0.0,3
k_postnorm,10,1.1,502.42982233333333,1.6056426049810277,-3.1554056970473305,0.16718930322683742,3
k_postnorm,20,1.2,491.77149733333334,1.199857784823821,-5.2097739206944444,0.052355373097733346,3
neighborhood_length,-20,1.92,431.4169156666667,0.4129963327250009,-16.843052144581655,0.15144452820547052,3
neighborhood_length,-10,2.16,468.80809500000004,0.4008106647570762,-9.635836773869118,0.1092532115847315,3
neighborhood_length,0,2.4,518.799458,0.9991756179710971,0.0,0.0,3
neighborhood_length,10,2.64,569.3107246666667,1.101695095310076,9.736659566857435,0.3967069475050203,3
neighborhood_length,20,2.88,631.9868903333332,0.9861119887144387,21.81771649480498,0.4191473373855212,3
density_threshold,-20,3.2,671.6395876666667,0.6288636668923394,29.460798937202203,0.35701467066308035,3
density_threshold,-10,3.6,575.8274396666667,2.3784511053204946,10.99200655348106,0.2596198027447571,3
density_threshold,0,4.0,518.799458,0.9991756179710971,0.0,0.0,3
density_threshold,10,4.4,484.41822299999995,3.1200595729875085,-6.627314499865012,0.5127763792271778,3
density_threshold,20,4.8,461.89270199999993,1.9076466585279959,-10.968458730314538,0.4812949212611459,3
