crowd,wall_mean,wall_std,steps,throughput
1000,6.195,0.4313351365237945,145.0,23405.97255851493
2000,6.26,0.12727922061357835,150.0,47923.32268370607
5000,8.09,0.5939696961966998,201.5,124536.46477132263
10000,11.715,0.049497474683058526,301.0,256935.5527102006
20000,22.29,0.650538238691625,445.5,399730.8209959623
50000,82.33500000000001,0.14849242404916552,910.0,552620.3922997509
100000,300.925,0.19091883092035497,1761.0,585195.6467558362
