generation,sim_calls,best_fitness,best_evac,best_cost,relative_improvement,objective_stable,road_set_stable,stagnant
1,8,1003.1134177789479,947.5014177789479,556.1200000000001,nan,0,0,0
2,12,1003.1134177789479,947.5014177789479,556.1200000000001,0.0,1,1,1
3,18,1003.1134177789479,947.5014177789479,556.1200000000001,0.0,1,1,2
4,23,1003.1134177789479,947.5014177789479,556.1200000000001,0.0,1,1,3
5,26,1003.1134177789479,947.5014177789479,556.1200000000001,0.0,1,1,4
6,32,1003.1134177789479,947.5014177789479,556.1200000000001,0.0,1,1,5
7,36,1003.1134177789479,947.5014177789479,556.1200000000001,0.0,1,1,6
8,39,1003.1134177789479,947.5014177789479,556.1200000000001,0.0,1,1,7
