generation,sim_calls,best_fitness,best_evac,best_cost,relative_improvement,objective_stable,road_set_stable,stagnant
1,8,884.4526315192514,828.8406315192515,556.1200000000001,nan,0,0,0
2,14,882.9468275512891,808.1948275512891,747.5200000000001,0.0017025264149825787,1,0,0
3,17,882.9468275512891,808.1948275512891,747.5200000000001,0.0,1,1,1
4,21,882.9468275512891,808.1948275512891,747.5200000000001,0.0,1,1,2
5,27,882.9468275512891,808.1948275512891,747.5200000000001,0.0,1,1,3
6,32,882.8547300159994,808.1027300159993,747.5200000000001,0.00010430700062096068,1,1,4
7,35,882.8547300159994,808.1027300159993,747.5200000000001,0.0,1,1,5
8,39,882.8547300159994,808.1027300159993,747.5200000000001,0.0,1,1,6
