generation,evaluation,sim_call,cached,fitness,evac,cost,widths
1,9,8,1,1888.2980960097225,1888.2980960097225,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,9,8,0,1886.7378468705692,1886.7378468705692,0.0,"[0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0]"
1,9,8,0,1700.4994080975434,1644.8874080975434,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
1,9,8,0,1687.120662211151,1611.526662211151,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
1,9,8,0,1871.7150332800259,1503.7440332800259,3679.71,"[4,4,4,0,2,0,2,0,4,0,2,0,4,4,4,0]"
1,9,8,0,1882.1418150331165,1854.5918150331165,275.5,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0]"
1,9,8,0,1916.8639688082317,1874.4449688082316,424.19000000000005,"[0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0]"
1,9,8,0,1775.6645041618567,1658.6785041618566,1169.8600000000001,"[0,0,2,0,0,4,0,0,2,0,2,0,0,4,0,0]"
2,17,12,1,1687.120662211151,1611.526662211151,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
2,17,12,1,1700.4994080975434,1644.8874080975434,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,12,0,1918.7456706354028,1742.8306706354028,1759.15,"[0,0,2,0,0,4,0,0,2,4,2,0,0,2,0,4]"
2,17,12,0,1777.0879705530915,1660.1019705530914,1169.8600000000001,"[0,0,2,0,0,4,0,0,2,0,0,0,0,4,0,0]"
2,17,12,0,1734.8371084513033,1619.8851084513033,1149.5200000000002,"[4,0,2,0,0,0,0,0,4,0,2,0,0,4,0,0]"
2,17,12,1,1775.6645041618567,1658.6785041618566,1169.8600000000001,"[0,0,2,0,0,4,0,0,2,0,2,0,0,4,0,0]"
2,17,12,1,1700.4994080975434,1644.8874080975434,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,12,0,1703.3110247478635,1604.3010247478635,990.1,"[0,0,4,0,0,0,2,0,2,0,4,0,0,4,0,0]"
3,25,18,1,1687.120662211151,1611.526662211151,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
3,25,18,1,1700.4994080975434,1644.8874080975434,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
3,25,18,0,1719.3946078046215,1580.2066078046214,1391.88,"[0,0,4,0,0,0,0,0,0,0,4,0,4,4,0,2]"
3,25,18,0,1823.2288446708114,1734.7298446708114,884.99,"[0,4,2,0,0,0,0,0,2,0,2,0,0,0,0,0]"
3,25,18,0,1893.7084022520608,1812.6944022520606,810.1400000000001,"[0,0,2,0,0,0,0,4,2,0,4,0,0,0,0,0]"
3,25,18,0,1733.9172437522784,1645.7382437522783,881.79,"[2,0,4,0,0,0,0,0,2,0,2,0,0,2,0,0]"
3,25,18,0,1775.3420296845259,1601.2190296845258,1741.23,"[4,0,4,0,2,0,0,0,4,0,2,0,0,4,0,0]"
3,25,18,0,1786.017874678494,1673.843874678494,1121.7400000000002,"[0,0,2,0,0,0,0,0,2,0,4,4,0,4,0,0]"
4,33,23,1,1687.120662211151,1611.526662211151,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
4,33,23,1,1700.4994080975434,1644.8874080975434,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
