generation,evaluation,sim_call,cached,fitness,evac,cost,widths
1,9,8,1,2174.2490277496454,2174.2490277496454,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,9,8,0,2178.519343731011,2178.519343731011,0.0,"[0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0]"
1,9,8,0,2085.3523742936422,2029.7403742936424,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
1,9,8,0,2101.172680357251,2025.5786803572512,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
1,9,8,0,2299.6967636794266,1931.7257636794266,3679.71,"[4,4,4,0,2,0,2,0,4,0,2,0,4,4,4,0]"
1,9,8,0,2177.2991948714835,2149.7491948714833,275.5,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0]"
1,9,8,0,2216.529649760998,2174.110649760998,424.19000000000005,"[0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0]"
1,9,8,0,2165.837884480629,2048.851884480629,1169.8600000000001,"[0,0,2,0,0,4,0,0,2,0,2,0,0,4,0,0]"
2,17,12,1,2085.3523742936422,2029.7403742936424,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,12,1,2101.172680357251,2025.5786803572512,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
2,17,12,0,2283.0209814522336,2107.1059814522337,1759.15,"[0,0,2,0,0,4,0,0,2,4,2,0,0,2,0,4]"
2,17,12,0,2164.9327464609028,2047.9467464609027,1169.8600000000001,"[0,0,2,0,0,4,0,0,2,0,0,0,0,4,0,0]"
2,17,12,0,2153.8547381169374,2038.9027381169371,1149.5200000000002,"[4,0,2,0,0,0,0,0,4,0,2,0,0,4,0,0]"
2,17,12,1,2165.837884480629,2048.851884480629,1169.8600000000001,"[0,0,2,0,0,4,0,0,2,0,2,0,0,4,0,0]"
2,17,12,1,2085.3523742936422,2029.7403742936424,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
2,17,12,0,2127.649353558265,2028.639353558265,990.1,"[0,0,4,0,0,0,2,0,2,0,4,0,0,4,0,0]"
3,25,18,1,2085.3523742936422,2029.7403742936424,556.1200000000001,"[0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0]"
