generation,evaluation,sim_call,cached,fitness,evac,cost,widths
6,49,34,1,2024.0216181217977,1948.4276181217977,755.94,"[0,0,4,0,0,0,0,0,2,0,2,0,0,4,0,0]"
6,49,34,1,2026.1468181136968,1950.5528181136967,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
6,49,34,0,2031.4333111507146,1931.7123111507146,997.21,"[0,0,4,0,0,0,0,0,2,0,0,0,2,4,0,0]"
6,49,34,0,2126.5129467374136,1992.5849467374135,1339.2800000000002,"[0,0,2,0,4,0,0,0,2,0,2,0,0,4,0,0]"
6,49,34,0,2069.1905790838027,1951.1775790838028,1180.13,"[0,0,4,0,0,0,0,0,2,4,2,0,0,4,0,0]"
6,49,34,0,2063.272239296853,1972.978239296853,902.94,"[0,0,2,2,0,0,0,0,2,0,2,0,0,4,0,2]"
6,49,34,0,2042.7499884969013,1939.6059884969013,1031.4400000000003,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,2,0]"
6,49,34,0,2084.0568972821907,1969.2738972821905,1147.8300000000002,"[0,0,4,0,2,0,0,0,2,0,2,0,0,4,0,0]"
7,57,38,1,2024.0216181217977,1948.4276181217977,755.94,"[0,0,4,0,0,0,0,0,2,0,2,0,0,4,0,0]"
7,57,38,1,2026.1468181136968,1950.5528181136967,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
7,57,38,1,2026.1468181136968,1950.5528181136967,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
7,57,38,0,2177.0382843834177,2106.3542843834175,706.8400000000001,"[2,0,4,0,0,0,0,0,2,0,4,0,0,0,0,0]"
7,57,38,0,2026.3195301051098,1950.7255301051098,755.94,"[0,0,4,0,0,0,0,0,2,0,0,0,0,4,0,0]"
7,57,38,0,2134.4274212753894,1991.6374212753894,1427.9,"[0,0,4,4,0,0,0,2,2,0,2,0,0,4,0,0]"
7,57,38,0,2031.309187046863,1931.588187046863,997.21,"[0,0,4,0,0,0,0,0,2,0,4,0,2,4,0,0]"
7,57,38,1,2026.1468181136968,1950.5528181136967,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
8,65,41,1,2024.0216181217977,1948.4276181217977,755.94,"[0,0,4,0,0,0,0,0,2,0,2,0,0,4,0,0]"
8,65,41,1,2026.1468181136968,1950.5528181136967,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
8,65,41,0,2109.000635542596,1947.9056355425955,1610.95,"[0,0,4,0,0,4,0,0,2,0,2,0,2,4,0,0]"
8,65,41,1,2026.1468181136968,1950.5528181136967,755.94,"[0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0]"
8,65,41,1,2031.4333111507146,1931.7123111507146,997.21,"[0,0,4,0,0,0,0,0,2,0,0,0,2,4,0,0]"
8,65,41,1,2024.0216181217977,1948.4276181217977,755.94,"[0,0,4,0,0,0,0,0,2,0,2,0,0,4,0,0]"
8,65,41,0,2082.2361912071447,1953.7181912071446,1285.1800000000003,"[0,0,4,4,0,0,0,0,2,0,4,0,0,4,0,2]"
8,65,41,0,2132.1773789891467,1969.3513789891465,1628.2600000000002,"[2,0,4,0,0,0,0,0,4,0,4,4,0,4,0,0]"
