ID, time, distance, start_x, start_y, end_x, end_y, state 
1453,253.406,192.98,480.084,280.242,374.221,174.31,1
1454,240.705,228.142,466.981,442.292,615.454,540.217,0
1455,34.3,36.1934,566.537,833.801,602.423,833.323,0
1456,61.0996,67.8572,591.906,233.961,648.357,198.232,0
1457,132.699,102.267,517.588,628.849,613.187,612.751,0
1458,253.406,177.156,252.669,343.398,248.895,187.387,1
1459,48.1998,63.6142,193.123,684.203,152.627,701.849,0
1460,220.204,276.738,336.061,404.02,251.454,184.374,0
1461,152,168.423,306.526,680.407,313.045,818.129,0
1462,100.699,77.9008,589.415,356.722,630.458,334.363,0
1463,186.902,178.375,381.974,246.383,349.87,174.648,0
1464,152.9,132.049,346.908,282.785,349.876,174.703,0
1465,21.4,27.2693,177.858,712.437,152.829,701.78,0
1466,82.0993,84.9234,530.303,611.087,613.167,612.758,0
1467,101.299,92.2213,159.105,398.412,67.6667,404.849,0
1468,36.7,29.0914,584.744,616.815,613.272,613.186,0
1469,235.105,289.62,304.791,505.734,139.858,611.105,0
1470,222.004,173.822,447.226,277.235,356.216,173.44,0
1471,17.2,18.935,332.706,181.41,349.886,174.752,0
1472,131.199,154.631,507.346,698.697,611.801,753.34,0
1473,97.8991,99.5761,555.251,121.682,653.457,129.956,0
1474,64.1996,77.3849,590.39,288.584,630.332,334.263,0
1475,253.406,211.031,296.126,364.148,250.382,185.223,1
1476,166.701,150.714,504.246,121.14,653.641,130.396,0
1477,214.504,258.621,381.582,612.76,312.165,818.222,0
1478,253.406,225.338,453.906,436.512,604.848,534.732,1
1479,249.606,165.639,487.458,662.213,613.262,613.069,0
1480,253.406,146.334,451.665,470.439,570.273,449.861,1
1481,123.399,137.766,604.786,443.841,615.582,539.593,0
1482,73.9994,83.6309,148.21,527.815,139.759,611.053,0
1483,199.703,200.421,370.193,344.522,349.652,174.629,0
1484,122.199,158.148,399.964,709.111,313.381,818.203,0
1485,168.901,133.933,548.141,299.724,630.324,334.137,0
1486,105.999,116.281,612.154,457.723,615.665,539.653,0
1487,21.3,18.8508,262.474,199.33,252.473,184.047,0
1488,54.6997,58.7594,399.327,185.625,355.77,174.224,0
1489,89.0992,92.6824,117.908,456.355,67.651,404.816,0
1490,115.299,110.926,228.078,606.795,144.761,615.906,0
1491,25.2001,30.2222,600.605,785.105,606.685,811.175,0
1492,176.902,139.815,290.907,304.43,250.29,184.903,0
1493,210.104,212.06,511.629,504.802,615.507,539.91,0
1494,117.999,109.644,555.237,686.577,612.073,752.609,0
1495,86.8992,75.0526,593.971,358.064,630.333,334.246,0
1496,173.901,161.319,549.492,422.482,615.598,539.689,0
1497,212.304,214.792,272.656,559.671,144.707,615.755,0
1498,253.406,170.153,445.919,386.316,566.146,340.603,1
1499,183.802,206.309,371.367,643.578,312.238,818.162,0
1500,253.406,264.506,374.906,451.997,325.899,208.8,1
1501,253.406,60.424,445.894,338.665,443.627,331.745,1
1502,30.2001,23.3331,271.061,197.853,252.416,184.04,0
1503,101.399,103.476,189.928,246.644,249.279,185.195,0
1504,253.406,209.99,294.392,379.541,248.949,197.674,1
1505,253.406,196.603,511.222,515.477,606.255,612.542,1
1506,239.805,204.322,280.499,561.071,144.662,615.743,0
1507,253.406,212.476,412.285,361.184,395.521,174.264,1
1508,109.099,99.8117,215.408,269.648,248.278,184.787,0
1509,253.406,214.973,439.299,389.988,599.758,336.833,1
1510,16.1,19.7298,375.13,178.106,356.026,173.802,0
1511,221.004,157.181,445.448,149.004,356.133,173.504,0
