step,time,alive,remaining_fraction
227,227.0,34119,0.68238
228,228.0,34067,0.68134
229,229.0,34015,0.6803
230,230.0,33956,0.67912
231,231.0,33906,0.67812
232,232.0,33843,0.67686
233,233.0,33795,0.6759
234,234.0,33734,0.67468
235,235.0,33677,0.67354
236,236.0,33623,0.67246
237,237.0,33570,0.6714
238,238.0,33514,0.67028
239,239.0,33456,0.66912
240,240.0,33403,0.66806
241,241.0,33352,0.66704
242,242.0,33291,0.66582
243,243.0,33242,0.66484
244,244.0,33181,0.66362
245,245.0,33127,0.66254
246,246.0,33076,0.66152
247,247.0,33021,0.66042
248,248.0,32966,0.65932
249,249.0,32905,0.6581
250,250.0,32849,0.65698
251,251.0,32799,0.65598
252,252.0,32747,0.65494
253,253.0,32688,0.65376
254,254.0,32636,0.65272
255,255.0,32588,0.65176
256,256.0,32530,0.6506
257,257.0,32475,0.6495
258,258.0,32421,0.64842
259,259.0,32369,0.64738
260,260.0,32318,0.64636
261,261.0,32266,0.64532
262,262.0,32205,0.6441
263,263.0,32154,0.64308
264,264.0,32093,0.64186
265,265.0,32051,0.64102
266,266.0,31994,0.63988
267,267.0,31940,0.6388
268,268.0,31894,0.63788
269,269.0,31844,0.63688
270,270.0,31790,0.6358
271,271.0,31737,0.63474
272,272.0,31692,0.63384
273,273.0,31640,0.6328
274,274.0,31586,0.63172
275,275.0,31540,0.6308
276,276.0,31491,0.62982
277,277.0,31439,0.62878
278,278.0,31385,0.6277
279,279.0,31344,0.62688
280,280.0,31287,0.62574
281,281.0,31246,0.62492
282,282.0,31184,0.62368
283,283.0,31144,0.62288
284,284.0,31088,0.62176
285,285.0,31038,0.62076
286,286.0,30992,0.61984
287,287.0,30939,0.61878
288,288.0,30894,0.61788
289,289.0,30841,0.61682
290,290.0,30794,0.61588
291,291.0,30743,0.61486
292,292.0,30697,0.61394
293,293.0,30642,0.61284
294,294.0,30596,0.61192
295,295.0,30545,0.6109
296,296.0,30502,0.61004
297,297.0,30451,0.60902
298,298.0,30407,0.60814
299,299.0,30362,0.60724
300,300.0,30308,0.60616
301,301.0,30259,0.60518
302,302.0,30211,0.60422
303,303.0,30165,0.6033
304,304.0,30118,0.60236
305,305.0,30072,0.60144
306,306.0,30023,0.60046
307,307.0,29976,0.59952
308,308.0,29924,0.59848
309,309.0,29877,0.59754
310,310.0,29837,0.59674
311,311.0,29782,0.59564
312,312.0,29736,0.59472
313,313.0,29693,0.59386
314,314.0,29643,0.59286
315,315.0,29592,0.59184
316,316.0,29546,0.59092
317,317.0,29502,0.59004
318,318.0,29455,0.5891
319,319.0,29410,0.5882
320,320.0,29361,0.58722
321,321.0,29316,0.58632
322,322.0,29268,0.58536
323,323.0,29219,0.58438
324,324.0,29181,0.58362
325,325.0,29129,0.58258
326,326.0,29088,0.58176
327,327.0,29037,0.58074
328,328.0,28992,0.57984
329,329.0,28945,0.5789
330,330.0,28899,0.57798
331,331.0,28851,0.57702
332,332.0,28807,0.57614
333,333.0,28760,0.5752
334,334.0,28712,0.57424
335,335.0,28667,0.57334
336,336.0,28619,0.57238
337,337.0,28576,0.57152
338,338.0,28522,0.57044
339,339.0,28480,0.5696
340,340.0,28431,0.56862
341,341.0,28389,0.56778
342,342.0,28341,0.56682
343,343.0,28290,0.5658
344,344.0,28249,0.56498
