gen,id,evac,cost,rank,widths
1,1,1355.98,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1,2,1070.16,3212.83,0,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
1,3,1106.18,2308.42,0,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
1,4,1130.51,1532.9,0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1,5,1205.26,375.19,0,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
1,6,1153.69,747.52,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1,7,1282.55,174.95,0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
1,8,1355.73,172.35,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
1,9,1232.83,347.46,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
1,10,1262.68,200.24,0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
1,11,1141.55,1303.37,0,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1,12,1142.42,1023.02,0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
