gen,id,evac,cost,rank,widths
2,62,1215.98,2735.79,2,"[0,0,2,2,0,4,2,0,2,0,2,2,0,4,4,4]"
2,63,1423.76,1856.68,3,"[0,0,0,0,0,4,2,0,4,0,4,2,0,0,4,2]"
2,64,1405.95,1861.04,3,"[0,2,0,2,0,0,0,0,2,4,4,2,0,0,2,4]"
2,65,1211.85,3094.0,3,"[0,4,4,0,2,2,4,0,2,4,2,0,2,2,0,0]"
2,66,1190.48,3439.86,3,"[0,2,2,2,4,0,2,2,0,2,4,0,2,4,2,4]"
2,67,1180.44,3544.59,3,"[2,4,2,0,0,0,4,4,2,0,2,0,2,4,4,2]"
2,68,1193.18,3291.7,3,"[0,0,4,2,0,4,4,2,0,0,4,2,0,4,4,2]"
2,69,1161.28,4002.24,3,"[2,2,4,0,2,4,2,2,4,0,2,2,2,4,4,0]"
2,70,1151.37,4365.89,3,"[2,4,4,0,4,0,0,4,4,2,2,0,4,4,4,0]"
2,71,1144.56,4532.01,3,"[4,2,4,0,2,2,2,4,4,2,0,0,2,4,4,4]"
2,72,1291.24,1959.38,3,"[0,4,4,0,2,2,0,0,2,0,0,0,0,0,0,2]"
2,73,1274.35,2319.22,3,"[4,0,2,0,0,0,0,0,0,4,4,4,0,0,4,0]"
2,74,1269.48,2675.49,3,"[0,0,2,0,2,2,4,4,2,0,2,2,2,2,0,0]"
2,75,1231.7,3073.43,3,"[4,0,2,2,0,0,0,4,2,4,2,4,0,4,0,2]"
2,76,1253.51,2927.17,3,"[4,0,2,0,4,0,0,2,4,2,2,2,0,0,4,0]"
2,77,1153.16,4682.24,4,"[4,0,4,2,4,4,0,2,0,0,4,2,4,4,4,2]"
2,78,1331.69,2034.19,4,"[2,2,0,0,0,0,0,0,2,0,4,4,4,2,0,2]"
2,79,1225.99,3145.16,4,"[4,4,0,0,2,0,0,2,4,0,2,2,0,4,4,0]"
2,80,1194.45,3492.3,4,"[0,4,2,2,2,2,4,0,4,2,2,2,2,4,0,2]"
3,81,1217.35,1302.8,0,"[0,0,4,2,0,0,0,0,0,0,4,0,0,2,4,0]"
3,82,1167.79,2784.65,0,"[0,0,4,2,0,0,4,2,0,0,4,0,4,4,2,4]"
3,83,1132.24,3160.49,0,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
3,84,1211.33,1655.91,0,"[0,2,2,0,0,0,2,0,4,0,2,2,2,4,0,0]"
3,85,1182.76,2729.38,0,"[2,2,2,0,2,0,0,0,4,2,2,2,4,4,0,2]"
3,86,1192.74,1990.19,0,"[0,2,2,0,2,0,0,0,4,2,2,0,4,4,0,0]"
3,87,1318.2,1432.82,1,"[0,0,2,2,0,2,0,0,0,2,2,2,2,0,0,0]"
3,88,1301.75,1639.67,1,"[0,0,2,2,0,4,0,0,4,0,4,2,0,2,0,2]"
3,89,1174.6,2810.18,1,"[0,0,4,0,0,4,0,0,2,2,2,2,2,4,4,2]"
3,90,1133.67,3160.49,1,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
3,91,1211.5,1731.23,1,"[0,0,2,2,0,2,2,0,0,2,4,0,2,4,0,0]"
3,92,1271.97,1724.84,1,"[0,0,2,0,0,4,0,0,0,2,2,2,2,2,0,0]"
3,93,1193.17,2431.02,1,"[0,2,2,0,2,0,0,0,4,2,2,2,4,4,0,2]"
3,94,1201.42,2085.54,1,"[2,0,2,0,0,0,4,2,2,2,4,0,2,4,0,0]"
3,95,1342.28,1587.44,2,"[0,0,2,2,0,4,0,2,2,0,4,0,0,0,2,0]"
3,96,1176.77,2897.08,2,"[0,2,4,2,0,2,2,2,0,0,2,0,2,4,4,0]"
3,97,1189.08,2888.35,2,"[4,0,2,0,2,0,0,0,4,2,2,4,2,4,0,4]"
3,98,1138.37,3458.85,2,"[2,2,4,4,2,0,2,0,4,0,2,2,2,4,4,0]"
3,99,1135.24,3977.16,2,"[4,4,4,0,2,4,0,0,4,0,0,0,2,4,4,2]"
3,100,1265.7,1813.39,2,"[0,0,2,0,0,4,0,0,0,0,4,2,0,2,4,0]"
3,101,1256.53,1919.29,2,"[0,0,2,0,0,4,0,2,4,0,2,2,0,4,0,2]"
3,102,1233.19,1976.75,2,"[2,0,0,0,2,0,0,0,2,2,2,2,0,4,2,2]"
3,103,1304.32,1793.04,2,"[4,0,2,0,0,0,0,2,0,4,2,2,0,0,0,0]"
3,104,1193.9,2694.11,2,"[0,4,2,0,2,0,0,0,2,2,2,0,4,2,4,0]"
3,105,1214.07,2123.86,2,"[0,2,2,0,0,2,2,0,4,0,2,2,2,4,0,2]"
3,106,1430.36,1648.86,3,"[0,0,0,2,0,4,0,0,2,2,4,0,0,0,2,4]"
3,107,1179.75,3098.3,3,"[4,0,2,0,0,2,2,2,4,0,4,0,2,4,4,4]"
3,108,1178.42,3174.22,3,"[0,2,4,2,0,0,2,4,0,0,0,0,4,4,2,4]"
3,109,1144.56,3974.62,3,"[2,4,4,0,2,0,0,4,4,2,2,0,4,4,4,0]"
3,110,1144.88,3926.8,3,"[2,2,4,4,2,2,2,0,4,0,4,2,2,4,4,2]"
3,111,1146.32,3670.08,3,"[4,0,4,2,2,0,4,4,4,0,4,0,2,4,2,2]"
3,112,1176.34,3599.14,3,"[2,0,4,2,0,4,2,2,0,0,4,2,2,4,4,2]"
3,113,1140.04,4735.93,3,"[4,4,4,0,2,2,4,4,4,0,2,0,2,4,4,2]"
3,114,1139.56,4926.96,3,"[4,4,4,2,2,2,2,4,4,0,2,0,4,4,4,2]"
3,115,1300.56,1863.6,3,"[4,0,2,4,0,0,0,0,0,4,2,2,0,0,0,0]"
3,116,1284.04,1946.14,3,"[0,0,0,0,0,4,0,0,0,0,4,2,0,4,4,2]"
3,117,1280.74,1992.86,3,"[4,0,4,0,0,0,0,2,0,4,2,2,0,0,0,0]"
3,118,1402.55,1796.98,3,"[0,2,0,2,0,0,0,0,2,4,4,4,0,0,2,0]"
3,119,1206.16,2793.68,3,"[2,2,2,0,0,0,2,4,2,2,0,0,2,4,0,4]"
3,120,1214.09,2123.86,3,"[0,2,2,0,0,2,2,0,4,0,2,2,2,4,0,2]"
4,121,1217.35,1302.8,0,"[0,0,4,2,0,0,0,0,0,0,4,0,0,2,4,0]"
4,122,1132.24,3160.49,0,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
4,123,1192.74,1990.19,0,"[0,2,2,0,2,0,0,0,4,2,2,0,4,4,0,0]"
4,124,1170.01,2255.86,0,"[2,0,4,4,0,0,0,0,4,0,2,2,0,4,4,0]"
4,125,1211.2,1655.91,0,"[0,2,2,0,0,0,2,0,4,0,2,2,2,4,0,0]"
4,126,1164.56,2552.44,0,"[2,0,4,0,0,0,4,2,0,2,4,0,2,4,2,0]"
4,127,1318.2,1432.82,1,"[0,0,2,2,0,2,0,0,0,2,2,2,2,0,0,0]"
4,128,1301.75,1639.67,1,"[0,0,2,2,0,4,0,0,4,0,4,2,0,2,0,2]"
4,129,1133.67,3160.49,1,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
4,130,1133.59,3547.38,1,"[4,2,4,0,2,2,0,0,4,2,2,0,2,4,4,2]"
4,131,1201.42,2085.54,1,"[2,0,2,0,0,0,4,2,2,2,4,0,2,4,0,0]"
4,132,1200.76,2170.7,1,"[4,0,2,0,0,0,0,0,4,2,2,4,2,4,0,0]"
4,133,1181.42,2519.93,1,"[4,0,2,0,2,0,0,0,4,2,2,2,4,4,0,0]"
4,134,1192.83,2371.72,1,"[4,2,2,0,2,0,0,0,4,2,2,2,0,4,0,0]"
4,135,1211.33,1655.91,1,"[0,2,2,0,0,0,2,0,4,0,2,2,2,4,0,0]"
4,136,1167.79,2784.65,1,"[0,0,4,2,0,0,4,2,0,0,4,0,4,4,2,4]"
4,137,1168.53,2655.96,1,"[0,0,2,0,4,0,0,0,4,0,2,2,4,4,4,0]"
4,138,1342.28,1587.44,2,"[0,0,2,2,0,4,0,2,2,0,4,0,0,0,2,0]"
4,139,1138.37,3458.85,2,"[2,2,4,4,2,0,2,0,4,0,2,2,2,4,4,0]"
4,140,1135.24,3977.16,2,"[4,4,4,0,2,4,0,0,4,0,0,0,2,4,4,2]"
4,141,1193.17,2431.02,2,"[0,2,2,0,2,0,0,0,4,2,2,2,4,4,0,2]"
4,142,1211.5,1731.23,2,"[0,0,2,2,0,2,2,0,0,2,4,0,2,4,0,0]"
4,143,1271.97,1724.84,2,"[0,0,2,0,0,4,0,0,0,2,2,2,2,2,0,0]"
4,144,1182.76,2729.38,2,"[2,2,2,0,2,0,0,0,4,2,2,2,4,4,0,2]"
4,145,1174.6,2810.18,2,"[0,0,4,0,0,4,0,0,2,2,2,2,2,4,4,2]"
4,146,1169.6,3006.63,2,"[0,0,4,2,4,0,4,2,0,0,2,0,2,4,2,0]"
4,147,1170.29,2905.74,2,"[2,0,4,0,0,4,0,2,0,0,4,0,2,4,4,2]"
4,148,1430.36,1648.86,3,"[0,0,0,2,0,4,0,0,2,2,4,0,0,0,2,4]"
4,149,1139.56,4926.96,3,"[4,4,4,2,2,2,2,4,4,0,2,0,4,4,4,2]"
4,150,1349.71,1737.87,3,"[0,0,2,0,0,2,2,0,4,0,2,4,2,0,0,2]"
4,151,1258.18,1767.45,3,"[0,0,4,0,0,4,0,2,0,0,4,0,0,2,2,0]"
4,152,1140.04,4735.93,3,"[4,4,4,0,2,2,4,4,4,0,2,0,2,4,4,2]"
4,153,1193.9,2694.11,3,"[0,4,2,0,2,0,0,0,2,2,2,0,4,2,4,0]"
4,154,1170.56,3486.51,3,"[0,4,4,0,0,4,0,0,2,2,4,2,2,4,4,2]"
4,155,1214.07,2123.86,3,"[0,2,2,0,0,2,2,0,4,0,2,2,2,4,0,2]"
4,156,1144.56,3974.62,3,"[2,4,4,0,2,0,0,4,4,2,2,0,4,4,4,0]"
4,157,1176.77,2897.08,3,"[0,2,4,2,0,2,2,2,0,0,2,0,2,4,4,0]"
4,158,1256.53,1919.29,3,"[0,0,2,0,0,4,0,2,4,0,2,2,0,4,0,2]"
4,159,1233.19,1976.75,3,"[2,0,0,0,2,0,0,0,2,2,2,2,0,4,2,2]"
4,160,1152.7,3577.23,3,"[0,2,4,0,2,4,2,0,4,2,2,0,4,4,4,0]"
5,161,1217.35,1302.8,0,"[0,0,4,2,0,0,0,0,0,0,4,0,0,2,4,0]"
5,162,1132.24,3160.49,0,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
5,163,1211.2,1655.91,0,"[0,2,2,0,0,0,2,0,4,0,2,2,2,4,0,0]"
5,164,1164.56,2552.44,0,"[2,0,4,0,0,0,4,2,0,2,4,0,2,4,2,0]"
5,165,1189.82,1782.34,0,"[2,0,2,0,0,0,4,0,2,2,4,0,2,4,0,0]"
5,166,1301.28,987.66,0,"[2,0,2,0,0,0,4,0,4,0,4,0,0,0,0,0]"
5,167,1126.33,3373.14,0,"[2,4,4,0,2,0,0,0,4,2,2,0,4,4,4,0]"
5,168,1155.82,2617.12,0,"[0,0,2,0,2,0,4,0,4,0,2,0,4,4,4,2]"
5,169,1164.94,1787.78,0,"[0,2,4,0,0,0,0,0,0,0,4,0,0,4,4,2]"
5,170,1208.26,1692.65,0,"[0,2,2,2,2,0,0,0,4,2,2,0,0,4,0,0]"
5,171,1133.67,3160.49,1,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
5,172,1211.33,1655.91,1,"[0,2,2,0,0,0,2,0,4,0,2,2,2,4,0,0]"
5,173,1318.2,1432.82,1,"[0,0,2,2,0,2,0,0,0,2,2,2,2,0,0,0]"
5,174,1301.75,1639.67,1,"[0,0,2,2,0,4,0,0,4,0,4,2,0,2,0,2]"
5,175,1133.59,3547.38,1,"[4,2,4,0,2,2,0,0,4,2,2,0,2,4,4,2]"
5,176,1161.22,2719.17,1,"[2,4,2,0,0,0,2,0,4,0,2,0,2,4,4,2]"
5,177,1167.29,1950.88,1,"[0,0,4,0,0,0,4,0,0,2,4,0,2,4,2,0]"
5,178,1134.9,3273.77,2,"[2,2,4,2,2,0,2,0,4,0,2,2,2,4,4,0]"
5,179,1211.5,1731.23,2,"[0,0,2,2,0,2,2,0,0,2,4,0,2,4,0,0]"
5,180,1271.97,1724.84,2,"[0,0,2,0,0,4,0,0,0,2,2,2,2,2,0,0]"
5,181,1211.38,1898.94,2,"[0,0,2,0,0,0,2,2,4,0,2,2,2,4,2,0]"
5,182,1342.28,1587.44,2,"[0,0,2,2,0,4,0,2,2,0,4,0,0,0,2,0]"
5,183,1134.64,4431.34,2,"[4,4,4,0,2,0,4,4,4,0,2,0,2,4,4,2]"
5,184,1166.36,2832.5,2,"[4,0,4,0,2,0,0,4,4,2,2,0,0,4,2,0]"
5,185,1168.09,1982.16,2,"[2,0,4,0,0,0,4,0,2,2,4,0,2,4,0,0]"
5,186,1210.07,1981.41,2,"[0,0,2,2,2,0,0,0,0,0,4,0,4,2,4,0]"
5,187,1167.65,2610.02,2,"[0,0,4,0,4,0,0,2,4,0,4,0,4,4,2,0]"
5,188,1138.37,3458.85,3,"[2,2,4,4,2,0,2,0,4,0,2,2,2,4,4,0]"
5,189,1135.24,3977.16,3,"[4,4,4,0,2,4,0,0,4,0,0,0,2,4,4,2]"
5,190,1136.92,3799.51,3,"[2,4,4,4,2,0,2,0,4,0,2,2,2,4,4,0]"
5,191,1258.18,1767.45,3,"[0,0,4,0,0,4,0,2,0,0,4,0,0,2,2,0]"
5,192,1244.13,1857.23,3,"[2,2,0,0,2,0,2,0,2,0,2,0,2,4,0,0]"
