scenario,objective_improvement_mean,objective_improvement_std,evacuation_improvement_mean,evacuation_improvement_std,jaccard_mean,jaccard_std,sim_calls_mean,stopped_generation_mean
base,11.177837770970037,0.012875829249316576,16.422818892877523,0.054673755028396324,1.0,0.0,47.0,9.5
k050,4.896625866313825,0.049633834974026556,8.56265715555838,0.04765973462499769,0.675,0.1060660171779821,42.5,9.0
k200,9.063186373403596,0.2337301523965967,15.782154518545344,1.1730116418146814,0.875,0.1767766952966369,39.0,8.0
h180,3.7295265843402534,0.323416337779176,9.139206540014133,0.2556430881302691,0.7083333333333333,0.058925565098878946,46.0,9.5
h300,10.665277081952109,0.02572715108673676,14.64995552916012,0.05204420308054875,0.875,0.1767766952966369,39.5,8.0
rho300,11.814189083476585,0.25469206566877006,14.677776987581629,0.3629496289037366,0.75,0.0,39.0,8.0
rho500,8.983638841946718,0.0667559841219529,14.029439265696983,0.06318444987682734,0.75,0.0,38.5,8.0
