Type,Run_ID,Evac,Cost,Widths
Min-cost,1465,1437.17,200.24,"[0,0,2,0,0,0,0,0,0,4,0,0,0,0,0]"
Min-evac (fastest),80,1253.83,3867.16,"[2,2,4,0,2,2,2,0,4,2,0,2,4,4,4]"
Knee (recommended),838,1309.65,1264.29,"[0,0,4,0,0,0,0,0,0,2,0,2,4,2,0]"
Weighted-sum beta=0.1,1519,1364.74,547.7,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
