batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,4347348.6,5,1162.39,0.0
1,80,4523260.1,8,1162.39,0.0
2,120,4583880.3,9,1154.14,0.0
3,160,4721676.2,12,1149.37,0.0
4,200,4831691.7,10,1135.27,0.0
