Run_ID,steps,T_total,N0,N_end
228,844,843.0,49395,10004
229,876,875.0,49394,9999
230,909,908.0,49390,10011
231,836,835.0,49393,10014
232,860,859.0,49389,10001
233,928,927.0,49386,10020
234,877,876.0,49392,10018
235,882,881.0,49391,10007
236,878,877.0,49392,10010
237,890,889.0,49393,10022
238,889,888.0,49392,9997
239,853,852.0,49394,10008
240,895,894.0,49389,10020
241,848,847.0,49391,10014
242,894,893.0,49392,10017
243,836,835.0,49397,10015
244,875,874.0,49391,10017
245,873,872.0,49392,10016
246,848,847.0,49397,10008
247,866,865.0,49393,10018
248,862,861.0,49390,10016
249,866,865.0,49393,10025
250,847,846.0,49393,10018
251,871,870.0,49386,10006
252,901,900.0,49382,10002
253,893,892.0,49392,10012
254,858,857.0,49395,10002
255,839,838.0,49392,10017
256,900,899.0,49383,10015
257,897,896.0,49393,9999
258,872,871.0,49391,10001
259,860,859.0,49393,10006
260,860,859.0,49393,10017
261,898,897.0,49382,10007
262,875,874.0,49395,10016
263,910,909.0,49384,10015
264,932,931.0,49385,10002
265,846,845.0,49393,10016
266,871,870.0,49386,10004
267,893,892.0,49394,10016
268,876,875.0,49392,10023
269,871,870.0,49391,10018
270,871,870.0,49386,10008
271,907,906.0,49386,10007
272,867,866.0,49390,10009
273,889,888.0,49392,10000
274,894,893.0,49393,10016
275,890,889.0,49390,10021
276,861,860.0,49393,10003
277,903,902.0,49384,9998
278,851,850.0,49401,10021
279,869,868.0,49390,10003
280,886,885.0,49387,9997
281,879,878.0,49391,10003
282,854,853.0,49393,10009
283,851,850.0,49412,10008
284,853,852.0,49392,10004
285,872,871.0,49391,9998
286,877,876.0,49391,10003
287,873,872.0,49391,10019
288,857,856.0,49393,10005
289,874,873.0,49392,10008
290,897,896.0,49385,10015
291,862,861.0,49392,10003
292,870,869.0,49391,10004
293,902,901.0,49392,10013
294,888,887.0,49398,10010
295,884,883.0,49386,10019
296,879,878.0,49391,10006
297,865,864.0,49389,10015
298,866,865.0,49392,10009
299,832,831.0,49402,10019
300,878,877.0,49392,10022
301,871,870.0,49386,10010
302,871,870.0,49387,10014
303,870,869.0,49392,10001
304,858,857.0,49393,10021
305,871,870.0,49385,10002
306,884,883.0,49382,10017
307,831,830.0,49400,10006
308,874,873.0,49390,10014
309,927,926.0,49390,10012
310,863,862.0,49387,10017
311,864,863.0,49387,10000
312,873,872.0,49389,10019
313,863,862.0,49392,10007
314,868,867.0,49395,10010
315,900,899.0,49392,10004
316,899,898.0,49389,10011
317,868,867.0,49389,10019
318,868,867.0,49390,10012
319,868,867.0,49391,10011
320,921,920.0,49383,10018
321,931,930.0,49384,10009
322,890,889.0,49393,10003
323,907,906.0,49390,10011
324,878,877.0,49390,10000
325,877,876.0,49391,10006
326,898,897.0,49392,10016
327,903,902.0,49382,10000
328,893,892.0,49394,10004
329,871,870.0,49386,10005
330,901,900.0,49389,10018
331,866,865.0,49392,10016
332,899,898.0,49384,10002
333,871,870.0,49386,10014
334,867,866.0,49394,10009
335,898,897.0,49387,10002
336,925,924.0,49383,10012
337,872,871.0,49385,10009
338,880,879.0,49392,10012
339,888,887.0,49388,9999
340,884,883.0,49385,10002
341,871,870.0,49388,10007
342,877,876.0,49391,10013
343,879,878.0,49392,10008
344,887,886.0,49384,10001
345,852,851.0,49392,10015
346,872,871.0,49393,10009
347,860,859.0,49390,10020
348,871,870.0,49391,10019
349,881,880.0,49389,10002
350,852,851.0,49392,10005
351,883,882.0,49383,9999
352,863,862.0,49388,10008
353,871,870.0,49392,10002
354,871,870.0,49386,10012
355,836,835.0,49395,10002
356,897,896.0,49387,10013
357,851,850.0,49387,10021
358,899,898.0,49385,10013
359,846,845.0,49392,10019
360,890,889.0,49389,10000
361,882,881.0,49391,10014
362,889,888.0,49390,10002
363,853,852.0,49393,10008
364,924,923.0,49383,10015
365,860,859.0,49400,10013
366,897,896.0,49390,10003
367,882,881.0,49385,10004
368,864,863.0,49388,10012
369,852,851.0,49393,10017
370,869,868.0,49392,10019
371,942,941.0,49389,10003
372,910,909.0,49391,10000
373,851,850.0,49392,10011
374,885,884.0,49385,10003
375,894,893.0,49385,10012
376,874,873.0,49383,10000
377,883,882.0,49383,10019
378,895,894.0,49390,10012
379,896,895.0,49385,9999
380,894,893.0,49389,9999
381,882,881.0,49392,10019
382,876,875.0,49382,10004
383,933,932.0,49390,10014
384,917,916.0,49387,10006
385,848,847.0,49391,10021
386,895,894.0,49389,9999
387,872,871.0,49389,10016
388,865,864.0,49392,10018
389,885,884.0,49383,10014
390,876,875.0,49390,10014
391,858,857.0,49396,10022
392,874,873.0,49388,10021
393,837,836.0,49394,10001
394,876,875.0,49390,10003
395,864,863.0,49389,10003
396,861,860.0,49392,10012
397,876,875.0,49386,10005
398,886,885.0,49393,9999
399,862,861.0,49389,10015
400,863,862.0,49389,10007
401,880,879.0,49385,10016
402,876,875.0,49382,10004
403,849,848.0,49394,10021
404,849,848.0,49390,10015
405,935,934.0,49392,10001
406,909,908.0,49393,10016
407,878,877.0,49386,10020
408,879,878.0,49391,10006
409,870,869.0,49393,10027
410,880,879.0,49385,10012
411,885,884.0,49389,9999
412,846,845.0,49393,10016
413,860,859.0,49392,10014
414,871,870.0,49384,10016
415,844,843.0,49389,10023
416,882,881.0,49392,10005
417,874,873.0,49391,10006
418,883,882.0,49382,10017
419,876,875.0,49391,10004
420,882,881.0,49383,10000
421,877,876.0,49388,10014
422,879,878.0,49392,10019
423,898,897.0,49388,10022
424,902,901.0,49391,9999
425,862,861.0,49389,10016
426,856,855.0,49392,9999
427,894,893.0,49389,10012
428,872,871.0,49386,10010
429,876,875.0,49383,10010
430,900,899.0,49390,10007
431,871,870.0,49386,10008
432,894,893.0,49387,10019
433,867,866.0,49394,10016
434,858,857.0,49392,10009
435,872,871.0,49391,10008
436,930,929.0,49396,9999
437,897,896.0,49384,10010
438,876,875.0,49383,10003
439,896,895.0,49394,10003
440,884,883.0,49387,10011
441,899,898.0,49385,10001
442,883,882.0,49383,10022
443,906,905.0,49392,10006
444,864,863.0,49387,10002
445,921,920.0,49386,10011
446,882,881.0,49385,10016
447,869,868.0,49386,10009
448,863,862.0,49391,10013
449,878,877.0,49385,10001
450,877,876.0,49391,10009
451,881,880.0,49384,10007
452,880,879.0,49384,10022
453,888,887.0,49389,10022
454,894,893.0,49388,10019
455,881,880.0,49389,10018
456,851,850.0,49389,10016
457,885,884.0,49391,10002
458,915,914.0,49383,10002
459,868,867.0,49383,10001
460,925,924.0,49391,10015
461,907,906.0,49384,10013
462,912,911.0,49387,10010
463,907,906.0,49387,10004
464,849,848.0,49390,10004
465,889,888.0,49385,10021
466,880,879.0,49391,10014
467,881,880.0,49385,10001
468,862,861.0,49386,10017
469,876,875.0,49382,10018
470,859,858.0,49395,10021
471,863,862.0,49390,10016
472,859,858.0,49390,10017
473,852,851.0,49393,10005
474,905,904.0,49382,10011
475,851,850.0,49393,10017
476,896,895.0,49385,10014
477,849,848.0,49388,10009
478,893,892.0,49387,10000
479,874,873.0,49390,10005
480,881,880.0,49382,10003
481,866,865.0,49390,10021
482,877,876.0,49383,10004
483,878,877.0,49387,10004
484,860,859.0,49387,10005
485,858,857.0,49394,10013
486,898,897.0,49384,10001
487,851,850.0,49392,9997
488,845,844.0,49391,10015
489,859,858.0,49394,10001
490,875,874.0,49385,10005
491,890,889.0,49387,10012
492,900,899.0,49385,10000
493,890,889.0,49381,10009
494,863,862.0,49386,10019
495,889,888.0,49383,10001
496,847,846.0,49392,10021
497,889,888.0,49391,10018
498,878,877.0,49394,10008
499,864,863.0,49386,10017
500,883,882.0,49385,10019
501,888,887.0,49382,10003
502,881,880.0,49384,10000
503,868,867.0,49385,10011
504,861,860.0,49391,10007
505,908,907.0,49393,10011
506,895,894.0,49385,10004
507,881,880.0,49387,10010
508,867,866.0,49392,10019
509,882,881.0,49395,10013
510,939,938.0,49383,9999
511,913,912.0,49392,10002
512,851,850.0,49392,10016
513,868,867.0,49386,10012
514,893,892.0,49387,10007
515,878,877.0,49384,10010
516,875,874.0,49392,10001
517,885,884.0,49384,10006
518,869,868.0,49393,10013
519,889,888.0,49381,10007
520,882,881.0,49384,10008
521,869,868.0,49383,10017
522,867,866.0,49385,9999
523,878,877.0,49388,10006
524,878,877.0,49391,10002
525,851,850.0,49391,10003
526,912,911.0,49386,10008
527,887,886.0,49385,10014
528,883,882.0,49383,10000
529,870,869.0,49393,10009
530,893,892.0,49392,10007
531,875,874.0,49386,10005
532,876,875.0,49382,10008
533,880,879.0,49389,10005
534,859,858.0,49387,10009
535,878,877.0,49384,10010
536,849,848.0,49390,10021
537,883,882.0,49387,10009
538,907,906.0,49390,10008
539,889,888.0,49385,10008
540,887,886.0,49383,10016
541,834,833.0,49388,10014
542,843,842.0,49395,10016
543,855,854.0,49391,10008
544,887,886.0,49383,10011
545,887,886.0,49392,10017
546,876,875.0,49388,10002
547,864,863.0,49389,10003
548,849,848.0,49390,10022
549,883,882.0,49391,10011
550,889,888.0,49381,10011
551,890,889.0,49382,10006
552,888,887.0,49382,10011
553,900,899.0,49389,10006
554,877,876.0,49389,10000
555,880,879.0,49390,10000
556,877,876.0,49384,10007
557,849,848.0,49391,10000
558,875,874.0,49391,10001
559,887,886.0,49385,10004
560,871,870.0,49385,10010
561,912,911.0,49393,10003
562,866,865.0,49383,10011
563,882,881.0,49386,9999
564,911,910.0,49384,10001
565,945,944.0,49378,10004
566,882,881.0,49383,10003
567,876,875.0,49393,10021
568,889,888.0,49384,10001
569,886,885.0,49384,9999
570,883,882.0,49391,10000
571,861,860.0,49393,10017
572,880,879.0,49382,10000
573,890,889.0,49395,10002
574,867,866.0,49383,10018
575,910,909.0,49390,10013
576,878,877.0,49381,9999
577,932,931.0,49388,10001
578,872,871.0,49394,10014
579,886,885.0,49392,10013
580,922,921.0,49388,10010
581,853,852.0,49391,10016
582,893,892.0,49387,10002
583,943,942.0,49381,10007
584,859,858.0,49388,10011
585,888,887.0,49385,9997
586,879,878.0,49386,10007
587,876,875.0,49386,10006
588,893,892.0,49389,10007
589,844,843.0,49391,10010
590,881,880.0,49392,10015
591,865,864.0,49392,10020
592,881,880.0,49384,10012
593,944,943.0,49378,10013
594,890,889.0,49384,10006
595,870,869.0,49390,10002
