ID, time, distance, start_x, start_y, end_x, end_y, state 
2674,61.8996,76.2536,213.129,676.748,149.306,693.281,0
2675,0,0,312.885,821.164,312.885,821.164,0
2676,140.499,93.8832,421.424,220.006,356.178,173.398,0
2677,112.899,79.9525,574.809,664.636,613.216,612.751,0
2678,312.71,112.403,476.889,670.006,554.847,619.201,1
2679,312.71,203.85,427.769,335.709,377.432,174.899,1
2680,135.899,122.937,207.129,533.334,139.919,611.114,0
2681,312.71,210.103,466.494,429.973,620.467,334.69,1
2682,220.104,231.58,367.38,608.048,312.394,818.106,0
2683,139.099,161.6,289.155,698.562,149.439,693.254,0
2684,28.9001,32.2693,317.184,786.504,312.784,818.035,0
2685,147.4,121.918,469.235,174.019,356.308,173.123,0
2686,53.7998,68.8772,550.515,811.282,602.442,833.262,0
2687,308.61,202.479,249.199,414.611,67.7239,404.812,0
2688,0,0,639.877,285.878,639.877,285.878,0
2689,312.71,162.082,297.162,577.029,184.266,621.467,1
2690,2,1.10281,255.08,179.064,254.015,179.352,0
2691,38.4,45.5344,81.396,439.868,67.5903,405.684,0
2692,22.6,26.191,318.327,792.676,312.645,817.968,0
2693,81.4993,64.8778,594.805,689.897,612.375,751.891,0
2694,312.71,199.118,426.696,594.338,552.428,615.516,1
2695,32.9001,34.0255,258.477,218.128,249.776,185.116,0
2696,105.899,124.296,353.444,701.903,313.26,818.217,0
2697,312.71,127.095,195.283,445.248,101.996,405.831,1
2698,312.71,245.864,451.541,477.826,603.999,538.542,1
2699,304.809,308.953,318.838,494.675,139.501,611.234,0
2700,146.4,127.422,526.16,120.438,653.544,129.989,0
2701,310.11,220.568,380.313,357.427,349.774,174.712,0
2702,162.001,150.537,217.002,512.771,140.161,611.235,0
2703,145.7,138.126,310.228,296.283,250.94,184.567,0
2704,40.7,51.0378,601.604,215.514,647.865,197.784,0
2705,18.9,18.7843,162.315,618.643,144.649,615.655,0
2706,60.5996,68.1721,410.276,148.162,356.041,173.748,0
2707,130.699,111.6,547.909,665.988,613.216,612.845,0
2708,109.599,111.136,582.898,446.555,615.59,539.704,0
2709,312.71,164.323,429.918,389.772,559.548,344.885,1
2710,23.0001,28.2522,171.935,622.02,144.801,615.917,0
2711,131.799,127.087,363.705,245.567,349.881,174.714,0
2712,6.9,6.76983,642.26,188.357,648.485,190.831,0
2713,0.2,0.0195815,615.726,759.166,615.73,759.147,0
2714,30.1001,29.6562,614.225,270.613,635.845,282.309,0
2715,116.999,131.288,350.632,694.045,312.734,818.006,0
2716,312.71,208.702,457.754,421.591,609.567,333.486,1
2717,82.7993,117.456,265.743,734.791,153.717,700.264,0
2718,179.002,125.629,251.505,302.805,249.825,185.145,0
2719,128.799,143.978,528.001,192.424,647.893,191.636,0
2720,58.9997,44.1813,569.295,617.217,613.272,612.426,0
2721,119.199,77.8086,588.074,678.021,612.272,752.173,0
2722,86.2993,98.414,578.787,455.01,615.522,539.869,0
2723,0,0,605.324,836.064,605.324,836.064,0
2724,312.71,160.597,429.983,415.191,530.231,361.558,1
2725,312.71,202.13,479.986,414.987,625.363,333.108,1
2726,183.602,130.997,528.573,670.663,613.203,612.787,0
2727,228.305,194.17,373.263,650.828,312.886,818.027,0
2728,99.5991,115.36,566.425,451.047,615.566,540.292,0
2729,11.1,11.9065,407.652,89.6184,405.509,78.0752,0
2730,43.2999,51.1642,562.708,759.647,611.191,754.864,0
2731,236.605,182.049,348.955,327.093,349.86,174.817,0
2732,84.5993,66.3805,164.216,557.681,139.881,611.159,0
2733,46.8999,65.5363,328.678,755.111,312.814,818.018,0
2734,5.9,4.2254,358.781,177.224,355.409,174.408,0
2735,265.807,201.704,478.985,415.793,630.35,334.433,0
2736,223.404,131.891,520.107,377.895,630.421,333.824,0
2737,129.099,90.7613,554.675,320.467,630.389,334.4,0
2738,162.001,101.269,214.388,259.33,248.785,184.991,0
2739,115.999,80.953,586.445,359.369,630.293,334.341,0
2740,173.901,217.638,510.194,250.57,648.132,198.036,0
2741,312.71,233.141,465.039,477.414,601.745,526.068,1
2742,281.608,238.571,351.563,370.804,349.709,174.701,0
2743,234.305,144.157,437.099,260.388,355.655,174.34,0
2744,163.601,152.387,232.589,778.817,152.781,701.727,0
2745,312.71,215.154,320.708,538.889,177.829,620.355,1
2746,312.71,171.37,247.161,395.189,77.3434,404.792,1
2747,186.802,195.637,341.16,638.633,312.27,818.213,0
2748,312.71,192.672,471.276,254.289,385.728,174.461,1
2749,96.2991,119.891,353.905,706.14,313.067,818.107,0
2750,17.9,19.9706,603.682,735.02,612.101,752.746,0
2751,166.101,143.77,306.167,302.165,251.11,184.637,0
