sim_call,batch,evac,cost_proxy,widths
52,2,1218.2769450464866,3180.8900000000003,"[0,4,2,2,4,2,0,0,2,0,0,4,2,2,0]"
53,2,1185.7600113431506,4596.63,"[4,4,2,4,0,4,4,4,4,0,0,4,4,0,2]"
54,2,1145.2586339605825,4261.490000000001,"[4,2,2,2,2,0,4,0,4,2,2,4,4,4,2]"
55,2,1363.52713443659,1354.4700000000003,"[4,0,0,0,0,0,4,0,4,0,0,2,0,0,0]"
56,2,1175.0236332516356,3545.84,"[0,4,2,2,4,0,2,0,2,0,0,4,4,4,0]"
57,2,1193.7149040896109,3215.1100000000006,"[0,4,2,2,0,0,4,0,2,2,0,4,4,4,0]"
58,2,1186.1322044197777,2140.4100000000003,"[2,4,2,0,0,0,0,0,4,0,0,0,4,2,4]"
59,2,1269.1666531629162,1870.8400000000001,"[2,2,2,0,0,0,4,0,2,0,0,2,0,2,0]"
60,2,1154.6151025947458,5360.09,"[4,4,2,2,2,2,4,4,4,4,0,4,4,2,4]"
61,3,1199.7905568271585,2117.85,"[2,4,2,0,0,0,0,2,4,0,0,0,4,2,0]"
62,3,1161.893380461423,3935.8,"[2,4,2,2,4,0,0,0,2,0,0,4,4,4,4]"
63,3,1428.1981547124715,594.25,"[0,0,0,0,0,2,0,0,2,0,0,0,0,2,0]"
64,3,1312.173472219409,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
65,3,1166.9149304219247,3462.1400000000003,"[0,2,2,2,2,0,4,0,4,0,2,4,4,4,2]"
66,3,1150.393204237477,4296.460000000001,"[4,2,2,2,2,0,4,2,2,0,4,2,4,4,2]"
67,3,1160.1421641110817,4100.27,"[2,2,2,0,2,0,4,2,0,0,4,4,4,4,2]"
68,3,1288.7598553748303,1767.1600000000003,"[0,2,2,2,0,0,4,0,4,0,0,2,0,2,0]"
69,3,1413.42708784865,391.89000000000004,"[0,0,0,0,2,0,0,0,0,0,0,0,0,0,0]"
70,3,1265.5526879215704,2354.7200000000003,"[2,2,2,0,0,0,4,0,2,0,4,2,0,2,0]"
71,3,1299.0650742368693,1259.67,"[2,0,2,0,0,0,4,0,2,0,0,2,0,0,0]"
72,3,1446.1046152443841,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
73,3,1351.2067228422695,1672.58,"[4,2,0,2,0,0,0,0,2,0,0,2,0,2,0]"
