gen,id,evac,cost,rank,widths
5,170,1134.78,3187.39,0,"[4,0,4,4,2,2,2,0,2,0,0,0,4,4,0]"
5,171,1195.72,981.68,0,"[0,0,4,0,0,0,2,0,0,0,0,0,4,0,0]"
5,172,1333.93,607.56,0,"[0,0,0,0,0,0,0,0,2,4,0,0,2,0,0]"
5,173,1163.99,1876.83,0,"[0,2,4,0,2,0,0,0,0,0,2,0,4,0,2]"
5,174,1420.74,16.76,0,"[0,0,0,0,0,0,0,0,4,0,0,0,0,0,0]"
5,175,1162.09,2833.41,1,"[4,2,2,2,0,2,4,0,0,0,2,0,4,0,2]"
5,176,1153.65,3026.39,1,"[0,0,4,2,4,2,0,0,4,0,0,2,4,4,2]"
5,177,1155.33,3020.32,1,"[0,2,4,2,2,2,4,0,0,4,0,0,4,0,2]"
5,178,1120.82,4427.69,1,"[4,2,4,4,2,2,2,0,0,2,2,4,4,2,2]"
5,179,1131.12,4371.32,1,"[0,2,4,2,2,2,4,0,0,4,2,4,4,4,2]"
5,180,1420.15,565.62,1,"[0,0,0,0,0,0,0,0,0,0,0,4,0,0,0]"
5,181,1422.13,0.0,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
5,182,1135.75,3202.12,1,"[4,2,4,2,4,0,0,0,0,0,2,0,4,0,4]"
5,183,1199.74,1471.46,1,"[0,2,2,2,0,0,0,0,0,0,2,0,4,0,2]"
5,184,1279.76,1061.47,1,"[0,0,4,0,0,0,4,0,4,0,0,0,0,0,2]"
5,185,1405.76,624.83,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,2,4]"
5,186,1336.42,795.14,1,"[0,0,0,2,0,0,0,0,2,4,0,0,2,0,0]"
5,187,1164.48,1876.83,1,"[0,2,4,0,2,0,0,0,0,0,2,0,4,0,2]"
5,188,1164.08,2042.11,1,"[0,2,4,0,2,0,0,0,0,0,2,0,4,0,4]"
5,189,1421.37,187.58,1,"[0,0,0,2,0,0,0,0,0,0,0,0,0,0,0]"
5,190,1121.95,4427.69,2,"[4,2,4,4,2,2,2,0,0,2,2,4,4,2,2]"
5,191,1426.99,0.0,2,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
5,192,1164.94,1876.83,2,"[0,2,4,0,2,0,0,0,0,0,2,0,4,0,2]"
5,193,1402.75,1073.64,2,"[0,2,0,0,0,0,0,0,0,0,0,4,0,0,2]"
5,194,1311.69,1376.39,2,"[0,0,2,2,0,0,0,0,0,4,0,4,0,0,0]"
5,195,1154.35,3028.92,2,"[0,0,4,0,4,2,4,0,4,0,0,0,4,4,2]"
5,196,1135.92,3407.07,2,"[0,2,4,2,4,0,2,0,0,0,2,2,4,2,4]"
5,197,1225.2,1525.46,2,"[0,0,4,0,4,0,0,0,0,0,0,0,2,0,2]"
5,198,1201.15,1565.02,2,"[0,0,2,0,4,0,2,0,0,0,0,0,4,0,0]"
5,199,1281.26,1426.85,2,"[0,0,4,0,0,2,0,0,0,0,0,0,0,4,2]"
5,200,1421.65,565.62,2,"[0,0,0,0,0,0,0,0,0,0,0,4,0,0,0]"
