gen,id,evac,cost,rank,widths
3,87,1223.1,1488.19,0,"[0,0,4,2,2,0,0,0,0,0,0,0,2,0,4]"
3,88,1214.22,1649.21,0,"[0,0,4,0,0,0,0,2,4,4,0,0,4,0,2]"
3,89,1175.08,2417.17,0,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
3,90,1196.94,2332.44,0,"[0,4,2,0,0,2,0,0,4,2,2,0,4,0,4]"
3,91,1161.89,3060.46,0,"[2,4,2,0,2,0,4,0,2,4,2,0,4,0,0]"
3,92,1301.56,958.22,0,"[0,0,2,0,2,0,0,0,4,0,0,0,0,0,4]"
3,93,1142.34,4373.42,0,"[2,0,4,4,4,4,4,2,0,0,2,2,4,2,0]"
3,94,1149.65,4091.81,0,"[2,0,4,4,2,4,4,0,0,0,4,4,4,0,2]"
3,95,1239.49,1096.3,0,"[0,0,4,2,0,0,0,0,0,0,0,0,2,0,4]"
3,96,1320.47,217.0,0,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,0]"
3,97,1423.01,0.0,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
3,98,1160.83,3582.57,1,"[2,2,2,4,2,2,2,0,2,0,4,0,4,2,4]"
3,99,1173.32,2701.7,1,"[0,2,2,2,2,0,4,0,2,0,4,0,4,2,0]"
3,100,1153.52,4073.93,1,"[2,4,4,4,0,2,4,4,4,0,0,0,4,2,4]"
3,101,1158.38,3817.84,1,"[2,4,2,0,2,2,4,4,2,0,2,0,4,2,0]"
3,102,1216.07,2038.48,1,"[0,2,4,0,2,0,0,0,0,2,2,2,2,0,0]"
3,103,1175.81,2417.17,1,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
3,104,1161.92,3350.31,1,"[2,0,4,4,0,0,0,0,0,4,2,4,4,4,2]"
3,105,1150.4,4259.88,1,"[2,4,4,4,0,2,4,0,4,0,4,4,4,0,4]"
3,106,1278.65,1394.52,1,"[0,0,0,0,0,0,0,0,4,4,0,2,4,0,4]"
3,107,1258.2,1588.36,1,"[0,2,0,2,2,0,0,0,0,0,0,0,4,0,4]"
3,108,1254.58,1967.43,1,"[0,4,0,0,4,0,0,0,0,0,0,0,4,0,2]"
3,109,1322.8,566.33,1,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,4]"
3,110,1393.12,480.72,1,"[0,0,0,0,0,0,4,0,2,0,0,0,0,0,0]"
3,111,1151.09,4259.88,2,"[2,4,4,4,0,2,4,0,4,0,4,4,4,0,4]"
3,112,1393.42,480.72,2,"[0,0,0,0,0,0,4,0,2,0,0,0,0,0,0]"
3,113,1323.88,566.33,2,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,4]"
3,114,1283.77,1471.64,2,"[0,2,4,0,0,0,0,0,0,2,2,2,0,0,0]"
3,115,1170.26,3485.09,2,"[0,4,4,0,2,0,4,4,4,4,0,0,4,0,2]"
3,116,1176.84,2723.13,2,"[2,0,4,0,4,4,0,0,0,0,0,2,4,0,0]"
3,117,1262.33,1692.46,2,"[0,0,2,0,0,0,2,2,0,2,0,4,2,0,0]"
3,118,1245.97,2201.59,2,"[0,4,0,0,4,0,2,0,0,0,0,0,4,0,2]"
3,119,1219.12,2284.53,2,"[0,4,2,0,2,0,0,0,0,0,0,4,2,2,0]"
3,120,1158.39,3817.84,2,"[2,4,2,0,2,2,4,4,2,0,2,0,4,2,0]"
4,121,1419.41,0.0,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
4,122,1214.22,1649.21,0,"[0,0,4,0,0,0,0,2,4,4,0,0,4,0,2]"
4,123,1175.08,2417.17,0,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
4,124,1320.47,217.0,0,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,0]"
4,125,1198.26,2191.75,0,"[0,2,2,0,2,0,0,0,2,4,4,0,4,0,0]"
4,126,1311.65,400.06,0,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
4,127,1154.61,2438.04,0,"[4,0,4,0,2,0,4,0,0,0,2,0,4,0,0]"
4,128,1220.45,881.88,0,"[0,0,2,0,0,0,0,0,2,0,0,0,4,0,4]"
4,129,1131.68,3495.15,0,"[2,2,4,2,2,0,4,0,0,0,2,2,4,4,0]"
4,130,1185.16,2237.74,0,"[0,2,2,2,2,0,0,0,4,0,4,0,4,2,0]"
4,131,1299.07,600.55,0,"[0,0,2,0,2,0,0,0,2,0,0,0,0,0,0]"
4,132,1423.01,0.0,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
4,133,1214.7,1649.21,1,"[0,0,4,0,0,0,0,2,4,4,0,0,4,0,2]"
4,134,1175.81,2417.17,1,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
4,135,1408.3,234.16,1,"[0,0,0,0,0,0,2,0,0,0,0,0,0,0,0]"
4,136,1322.8,566.33,1,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,4]"
4,137,1393.12,480.72,1,"[0,0,0,0,0,0,4,0,2,0,0,0,0,0,0]"
4,138,1160.21,3087.68,1,"[2,2,2,2,2,0,2,0,2,0,4,0,4,2,4]"
4,139,1163.31,2659.63,1,"[2,0,2,0,2,0,4,0,2,4,2,0,4,2,0]"
4,140,1161.89,3060.46,1,"[2,4,2,0,2,0,4,0,2,4,2,0,4,0,0]"
4,141,1175.35,2582.45,1,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,4]"
4,142,1223.1,1488.19,1,"[0,0,4,2,2,0,0,0,0,0,0,0,2,0,4]"
4,143,1239.49,1096.3,1,"[0,0,4,2,0,0,0,0,0,0,0,0,2,0,4]"
4,144,1277.85,948.89,1,"[0,0,0,0,0,0,0,0,4,4,0,0,4,0,2]"
4,145,1132.98,3647.01,1,"[2,4,4,2,2,0,4,0,4,4,0,0,4,2,2]"
4,146,1139.64,3592.31,1,"[2,2,4,2,2,2,2,0,2,0,4,0,4,2,4]"
4,147,1196.94,2332.44,1,"[0,4,2,0,0,2,0,0,4,2,2,0,4,0,4]"
